Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Popularity,Track Features,Lyrics
we can't be friends (wait for your love),Ariana Grande,94,pop,eternal sunshine,0.88,"{'danceability': 0.647, 'energy': 0.65, 'key': 5, 'loudness': -8.278, 'mode': 1, 'speechiness': 0.0421, 'acousticness': 0.0716, 'instrumentalness': 1.62e-05, 'liveness': 0.0749, 'valence': 0.281, 'tempo': 115.853, 'type': 'audio_features', 'id': '46kspZSY3aKmwQe7O77fCC', 'uri': 'spotify:track:46kspZSY3aKmwQe7O77fCC', 'track_href': 'https://api.spotify.com/v1/tracks/46kspZSY3aKmwQe7O77fCC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/46kspZSY3aKmwQe7O77fCC', 'duration_ms': 228639, 'time_signature': 4}","
 think understand 
 try  
 wanna tiptoe  wanna hide 
 wanna feed monstrous fire 
 wanna let story die 
 alright 

  
 friends 
 like pretend 
 cling papers pens 
 Wait like 

  
 Wait love 
 Lo  love  wait love 

  
 truth  sit silence 
 Mm 
 Baby girl  
 Cause wanna argue  wanna bite 
 tongue  yeah  think die 
 got misunderstood 
 look good 
 like 
 friends 
 like pretend 
 cling papers pens 
 Wait like 

  
 Wait love 
 Lo  love  wait love 
 wait love 
 Lo  love  wait love 

  
 Know 
 like paint  hanging 
 
 somethin like daydream 
 feel seen night 
  
 maybe need 

  
 friends 
 like pretend 
 cling papers pens 
 Wait like 
  
 Wait love 
 Lo  love  wait love 
 wait love 
 Lo  love  wait love 

  
 wait love 
 wait love 
 wait love 
 wait love 
 wait love8Embed"
Lose Control,Teddy Swims,82,,Lose Control,0.89,"{'danceability': 0.561, 'energy': 0.604, 'key': 9, 'loudness': -4.409, 'mode': 1, 'speechiness': 0.0337, 'acousticness': 0.199, 'instrumentalness': 1.9e-05, 'liveness': 0.104, 'valence': 0.242, 'tempo': 159.92, 'type': 'audio_features', 'id': '6usohdchdzW9oML7VC4Uhk', 'uri': 'spotify:track:6usohdchdzW9oML7VC4Uhk', 'track_href': 'https://api.spotify.com/v1/tracks/6usohdchdzW9oML7VC4Uhk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6usohdchdzW9oML7VC4Uhk', 'duration_ms': 210689, 'time_signature': 3}","
 got hold lately 
  know anymore 
 Feels like walls closin  
 devil knockin  door  woah 
 mind  times tell 
 good bein   
 Yeah  taken toll  tryin  best 
 tearin  skin bones  know 

  
 lose control 
 
 fallin  apart right   
 lose control 
  mhm 
 Yeah  breakin  heart  baby 
 mess 

  
 Problematic 
 problem want body like fiend  like bad habit 
 Bad habits hard break 
 Yeah  know 
 want real  moon black magic takes 
 Problematic 
 problem addict 
 need relief  skin teeth 
 forest trees 
 Got knees  darlin    oh 
 Teddy Swims LiveGet tickets low  47You like 
 lose control 
 
 fallin  apart right   
 lose control 
  Mm  hmm  
 Yeah  breakin  heart  baby 
 mess  yeah 

  

  
 lose control 
  mm 
 fallin  apart right   
 lose control 
  mhm 
 Yeah  breakin  heart  baby 
 mess meEmbed"
Beautiful Things,Benson Boone,83,singer-songwriter pop,Beautiful Things,1.0,"{'danceability': 0.472, 'energy': 0.471, 'key': 10, 'loudness': -5.692, 'mode': 1, 'speechiness': 0.0603, 'acousticness': 0.151, 'instrumentalness': 0, 'liveness': 0.14, 'valence': 0.219, 'tempo': 105.029, 'type': 'audio_features', 'id': '6tNQ70jh4OwmPGpYy6R2o9', 'uri': 'spotify:track:6tNQ70jh4OwmPGpYy6R2o9', 'track_href': 'https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9', 'duration_ms': 180304, 'time_signature': 3}","
  rough 
 lately  doin better 
 cold Decembers recall 
 family month 
 found girl parents love 
 come stay night  think 
 thank God day 
 girl sent way 
 know things gives  away 
 hold night 
 feeling wanna 
 man terrified man stands lose 

  
 Oh  hope losе 
 Mm  stay 
 want  need  oh God 
 
 Thеse beautiful things got 

  
 stay 
 want  need  oh  God 
 
 beautiful things got 
 Benson Boone LiveGet tickets low  86You like 
 Oh  ooh 
 

  
 found mind  feelin  sane 
  finding faith 
 good great  sit wait  til gone  
 Oh  tell ya  know got 
 got peace got love 
 night thinkin  lose 

  
 stay 
 want  need  oh God 
 
 beautiful things got 

  
 Oh  ooh 

  
 stay 
 want  need  oh God 
 need 
 beautiful things got1Embed"
CARNIVAL,¥$,85,,VULTURES 1,0.97,"{'danceability': 0.594, 'energy': 0.811, 'key': 1, 'loudness': -5.746, 'mode': 1, 'speechiness': 0.159, 'acousticness': 0.189, 'instrumentalness': 0, 'liveness': 0.339, 'valence': 0.311, 'tempo': 148.144, 'type': 'audio_features', 'id': '3w0w2T288dec0mgeZZqoNN', 'uri': 'spotify:track:3w0w2T288dec0mgeZZqoNN', 'track_href': 'https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN', 'duration_ms': 264324, 'time_signature': 4}","
    
 Head good  honor roll 
 ride dick like carnival 
 impossible 
    
 Head good  honor roll 
 ride dick like carnival 
 impossible 
 
 Ha  ha  ha  schyeah 

  
 Way rich drive Rove  
 milli  stove 
 like nose 
 Pretty bitch white toes 
 bros 
 fucked Rolls  Hahahaha  
 pulled Ghost 
 reachеd goals 
 Yeah  yeah  pull Yeezy Dolla  ign 
 business  mindin  minе 
 Pull trenches like Columbine 
 Pull rocket like NumbaNine 
 want hoes 
 Young nigga reach goals 
 Let suck dick  said pro 
 scrape teeth  tell 
 like 
    
 Head good  honor roll 
 ride dick like carnival 
 impossible 
     Ha  ha  
 Head good  honor roll 
 ride dick like carnival 
 impossible  Dolla  ign  

  
 ride like Flags 
 turn max 
 whop 
 gave bitch cramp 
 love France 
 hood  good  stamped 
 day  dress black 
  racks 
 Middle East  double 
 neck bubble bath 
 wrist  new Cadillac 
 Cut  want 
 Little bitch  superstar 
 hoes wanna fuck car 
 dog nigga park 
 Got ta watch narcs  ayy 
  
 Game Thrones  Yeezy  clones 
 Elon  rocket ship  time home 
 served porn day born 
 Anybody pissed  got ta em drink urine 
 Ye  Kelly  bitch  Bill Cosby  bitch 
  Puff Daddy rich  rich 
 sucked dick  ai sucked dick  
 gon  ass like ventriloquist 
 mean Taylor Swift  Rollie wrist 
 new Jesus  bitch  turn water Cris  
 Chris  shit 
 Got kids fake school  ai  
  
    
 Head good  honor roll 
 ride dick like carnival  Schyeah  
 impossible  Schyeah  
    
 Head good  honor roll 
 ride dick like carnival 
 impossible 

  
 ride dick like carnival 
 Bend  havin flashbacks  gon  eat like carnivore 
 way pop shit  hoes ready  goin barnacles 
 Movin   feel like Jason  arrested  em stumble 
 want private section  roll X Melrose 
 tatted titties  yeah  bust  borrow 
 Hol   sittin   countin  dubs  raised borough 
 wanna taste  checkin  swag today  ho  come tomorrow 
 know know  hide ho 
 facts havin hunchos 
 Runnin  lobby  know tired havin like hoes 
 need cresidentials presidential  hol   hol  
 bout buy dentures  ho eat dinner  woah  woah 
 Pain eyes   uh 
 bout jump body  ready leap  uh 
 bout nut body tell ho leave   kay 
 mil  stuffed bag  tell gang eat  uh 
 Ye Barti  tell fuckin   
 hot like Tha Carter  feelin  ho sleep 
 Dollar signs dreams  Z  woah  Woah  woah  
 swag cover body like disease  woah  Woah  woah  
  
 Woah  woah  woah 
 Woah  woah  woah 

  
    
 Head good  honor roll 
 ride dick like carnival 
 impossible 
    
 Head good  honor roll 
 ride dick like carnival 
 impossible 

  
    
    
    
    go56Embed"
Lovin On Me,Jack Harlow,83,"deep underground hip hop, kentucky hip hop, pop rap, rap",Lovin On Me,0.94,"{'danceability': 0.943, 'energy': 0.558, 'key': 2, 'loudness': -4.911, 'mode': 1, 'speechiness': 0.0568, 'acousticness': 0.0026, 'instrumentalness': 2.19e-06, 'liveness': 0.0937, 'valence': 0.606, 'tempo': 104.983, 'type': 'audio_features', 'id': '4xhsWYTOGcal8zt0J161CU', 'uri': 'spotify:track:4xhsWYTOGcal8zt0J161CU', 'track_href': 'https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU', 'duration_ms': 138411, 'time_signature': 4}","
 like whips chains tie 
 whip lovin  baby 
 Whip lovin  baby 

  
 vanilla  baby  like whips chains  
 choke  ai killer  baby  tie  
   tellin  baby  whip lovin  baby  
 love Detroit like Skilla Baby  Whip lovin  baby  
 thing boy 
 like whips chains tie 
 whip lovin  baby  right  right  
 Whip lovin  baby 

  
 Young J   C  K  AKA 
 Rico like Suave  Young Enrique 
 Speakin  AKA  alpha 
 boy  quiet  round boy  hold  Shh  
 know heard thought boy 
 lied boy  goin dumb somethin idiotic bout boy 
 wearin  cheetah print 
 bad wanna bе spotted  round boy 

  
 like whips chains tie mе 
 whip lovin  baby 
 Whip lovin 
 like 
 vanilla  baby  like whips chains  
 choke  ai killer  baby  tie  
   tellin  baby  whip lovin  baby  
 love Detroit like Skilla Baby  Whip lovin  baby  
 thing boy 
 like whips chains tie 
 whip lovin  baby 
 Whip lovin  baby 

  
 Young M   S  S   O  N   R  Y 
 sharp like barbed wire 
 stole heart  got archived 
 short bitch  Lord Farquaad 
 girls row  Ayy  
 girls barricade  Ayy  
 girls waitin  day 
 Let tongue hang  fuck  Ayy  
 came man  Came man  
 Let hand  Let shit  
 Everybody suite kickin  feet 
 Stand  bitch  dance 

  
 like whips chains tie   guys waitin  track  
 whip lovin  baby  Cut boy lil  slack  
 Whip lovin  young Jack  
  
 vanilla  baby  like whips chains  
 choke  ai killer  baby  tie  
   tellin  baby  whip lovin  baby  
 love Detroit like Skilla Baby  Whip lovin  baby  
 thing boy 
 like whips chains tie 
 whip lovin  baby  right  right  
 Whip lovin  baby 

  
 like whips chains tie 
 whip lovin  baby 
 Whip lovin  baby5Embed"
TEXAS HOLD 'EM,Beyoncé,87,"pop, r&b",TEXAS HOLD 'EM,0.93,"{'danceability': 0.725, 'energy': 0.709, 'key': 2, 'loudness': -6.514, 'mode': 1, 'speechiness': 0.072, 'acousticness': 0.588, 'instrumentalness': 0, 'liveness': 0.135, 'valence': 0.353, 'tempo': 110.024, 'type': 'audio_features', 'id': '0Z7nGFVCLfixWctgePsRk9', 'uri': 'spotify:track:0Z7nGFVCLfixWctgePsRk9', 'track_href': 'https://api.spotify.com/v1/tracks/0Z7nGFVCLfixWctgePsRk9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0Z7nGFVCLfixWctgePsRk9', 'duration_ms': 235636, 'time_signature': 4}","
 ai Texas  Woo  
 Ai hold em  Hey  
 lay cards    
 park Lexus  Woo  
 throw keys  Hey  
 Stick   round   round   round   round  Stick  
 damned slow  dance 
 Come pour sugar  honey 
 real  life boogie real  life hoedown 
 bitch  come floor  woo  ha  Woo  

  
 tornado  tornado  
 city  city  
 Hit basement  Hit basement  
 shit ai pretty  shit ai pretty  
 Rugged whiskey  Rugged whiskey  
 Cause survivin   Cause survivin   
 red  cup kisses  sweet redemption  passin  time  yeah 

  
 Ooh  step right 
 headed dive bar thought nice 
 Ooh  run left 
 spin middle  boy  read mind 
 like 
 ai Texas  Woo  
 Ai hold em  Hey  
 lay cards    
 park Lexus  Woo  
 throw keys  Hey  
 stick   round   round   round   round  Stick  
 damned slow  dance 
 Come pour sugar  honey 
 real  life boogie real  life hoedown 
 bitch  come floor  woo 
 damned dance 
 Come pour liquor  honey 
 real  life boogie real  life hoedown 
 bitch  come floor  woo 

  
 Woo  hoo 
 Woo  hoo 
 Woo  hoo 

  
 heatwave  heatwave  
 Comin   Comin   
 hot think straight  hot think straight  
 cold panic  Cold panic  
 problems 
 feel dramatic  feel dramatic  
 runnin  bar find  yeah 
  
 Ooh  step right 
 headed dive bar thought nice 
 Ooh  run left 
 work middle boy  read mind 

  
 ai Texas  Woo  
 Ai hold em  Hey  
 lay cards     oh 
 park Lexus  Hey  
 throw keys  Hey  
 stick   round   round   round   round  Stick  
 damned dance 
 Come pour sugar  honey 
 real  life boogie real  life hoedown 
 bitch  come floor  Woo  
 damned dance 
 Come pour liquor  honey 
 real  life boogie real  life hoedown 
   come floor  ooh 

  
 floor  ooh 
 Hoops  spurs  boots 
 floor  ooh 
 Tuck   oops  Ooh  ooh  ooh  
 Shoot 
 Come floor  ooh 
 damned dance 
 Baby  pour sugar liquor  
 Furs  spurs  boots 
 Solargenic  photogenic  shoot14Embed"
act ii: date @ 8 (feat. Drake) - remix,4batz,74,,act ii: date @ 8 (feat. Drake) [remix],0.85,"{'danceability': 0.55, 'energy': 0.545, 'key': 0, 'loudness': -9.304, 'mode': 1, 'speechiness': 0.163, 'acousticness': 0.318, 'instrumentalness': 0, 'liveness': 0.0608, 'valence': 0.412, 'tempo': 102.469, 'type': 'audio_features', 'id': '3QS9ZCtoSCJhmaJ7QNXSAS', 'uri': 'spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS', 'track_href': 'https://api.spotify.com/v1/tracks/3QS9ZCtoSCJhmaJ7QNXSAS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3QS9ZCtoSCJhmaJ7QNXSAS', 'duration_ms': 231339, 'time_signature': 4}","
 want pull  

  
 come slide 8 pm 
 send text DM 
 hunnid fuckin  hair 
 hunnid fuckin  nails 
 runnin  shoes wear 
 bought pair 

  
 Girl  got dress 
 bring yo  ass  stairs 
 buy shit rare 
  plus  know care 
 Bitch  know love 
 comin  near 
 nigga compete  swear  Nah  real  
 tried  look weak  baby 

  
 come slide 8 pm 
 send text DM 
 hunnid fuckin  hair 
 hunnid fuckin  nails 
 runnin  shoes wear 
 bought pair 
 runnin  shoes wear 
 bought pair 
 like 
 come slide 8 pm 

  
 deserve  
 know 
 prayin  kid 
 guess luck 
 body face   
 kinda water servin  Clayco  
 talkin   añejo 
 Ready pop  got ta lay low 
 got ta calm 
  Fore end jeopardy like game 
 Broski twin  bestie 
 love  said got blessin  
 swear gassin  
 way hell passin  
 said loved ass right fucked 
 know  girl  tip tongue 
 Yeah  found fallin  
 hit  talkin  
 bodies caught   
 mad insecure  good  
 thousand fuckin  hair 
 hunnid fuckin  nails  real 
 shit feel like fairy tale  swear  
 open Chanel  ch  ch 
 stand  guy like Dave Chappelle 
 cursed  bout break spell  real 
 Tell nigga 
 Girl  cares gon   
  
  hunnid fuckin  hair  
  hunnid fuckin  nails2Embed"
greedy,Tate McRae,85,pop,greedy,0.97,"{'danceability': 0.75, 'energy': 0.733, 'key': 6, 'loudness': -3.18, 'mode': 0, 'speechiness': 0.0319, 'acousticness': 0.256, 'instrumentalness': 0, 'liveness': 0.114, 'valence': 0.844, 'tempo': 111.018, 'type': 'audio_features', 'id': '3rUGC1vUpkDG9CZFHMur1t', 'uri': 'spotify:track:3rUGC1vUpkDG9CZFHMur1t', 'track_href': 'https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t', 'duration_ms': 131872, 'time_signature': 1}","
  Woo  

  
 said    tried  figure 
 night know 
 ta  Ta  ta   talkin   comin  mouth 
 tell want     yeah 
  
 want 
 Baby  believe 
 hell 
 know  yeah  yeah 
 sure 
 Baby  greedy 
 shit wo end 
   wo  End 

  
  Uh  uh  uh  uh  uh  uh  uh  woo  

  
 eyein   know past 
 runnin  room half age 
 Yeah  loo  Loo  loo   lookin  like sweet escape 
 Obvious want  said 
 Tate McRae LiveGet tickets low  26You like 
 want 
 Baby  believe 
 hell 
 know  yeah  yeah 
 sure 
 Baby  greedy 
 shit wo end 
   wo  End 

  
 said   curious  real act  
 tell love hate  met like 
 Drive    crazy  know got effect   
 said   Lemme check  yeah  
  
 want 
 Baby  believe 
 hell 
 know  yeah  yeah 
 sure 
 Baby  greedy 
 shit wo end 
   wo  End 
  
  want  
  want  
 want 
  want  
  want  
  Uh  uh  uh  uh  uh  uh22Embed"
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,88,classic oklahoma country,Zach Bryan,0.92,"{'danceability': 0.429, 'energy': 0.453, 'key': 0, 'loudness': -7.746, 'mode': 1, 'speechiness': 0.0459, 'acousticness': 0.554, 'instrumentalness': 2e-06, 'liveness': 0.102, 'valence': 0.155, 'tempo': 77.639, 'type': 'audio_features', 'id': '4KULAymBBJcPRpk1yO4dOG', 'uri': 'spotify:track:4KULAymBBJcPRpk1yO4dOG', 'track_href': 'https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG', 'duration_ms': 227196, 'time_signature': 4}","1 ContributorNew Music Friday 082523 LyricsZach Bryan  Remember  feat  Kacey Musgraves  
 Selena Gomez  Single Soon 
 Miley Cyrus  Young 
 BLACKPINK  GIRLS 
 Victoria Monét  Alright 
 Burna Boy  City Boys 
 Brent Faiyaz  Moment Life 
 Conan Gray  Winner 
 Gucci Mane   feat  J Cole  Mike   
 Lil Yachty  TESLA 
 John Summit  Fade  feat  MKLA  
 Maluma  Yandel  Trofeo 
 Feid  ICON  FERXXO 151 
 French Montana  Swae Lee  Wish U  Extended  
 Dave  Tiakola  Meridian 
 Omar Apollo  Ice Slippin 
 Zach Bryan  Tourniquet 
 Killers  Town 
 Morgan Wade  27 Club 
 Charlotte Cardin  Daddy Psycho 
 Laufey  California 
 Fuerza Regida  La Tierra del Corrido  Spotify Singles 
 Mitski  Heaven 
 Sid Sriram  Quiet Storm 
 Jordan Ward  ZOOMIES 
 Burna Boy  Cheat  feat  Dave  
 Tyga  PARTy T1M3 
 City Girls  Face 
 Peezy  Key Glock  Amiris 
 Yung Gravy  Way Jose 
 Ashnikko  Dying Star  feat  Ethel Cain  
 YUNGBLUD  Hated 
 Manuel Turizo  Grupo Frontera  DE LUNES LUNES 
 Charlotte Day Wilson  Snoh Aalegra  Forever 
 Tim McGraw  Hold 
 GAYLE  leave dead 
 Jason Derulo  Body Count 
 FRIENDS  Self destruct 
 hemlocke springs  enknee1 
 Toro y Moi  Sidelines 
 Dan  Shay  Married 
 Yeek  Care  feat  Bakar  
 Blessd  Peso Pluma  SOG  Ojos Azules 
 Paul Dally  Moonlit Breakers  feat  Dijon  
 Ashley Kutcher  Matchbox 
 Joel Corry  MK  Rita Ora  Drinkin  
 Robin Schulz  Wolves 
 Chemical Brothers  Skipping Like Stone  feat  Beck  
 Cuco  Alemán  Coastin  
 Naomi Sharon  Definition Love 
 Earl Sweatshirt  Alchemist  Sentry  feat  MIKE  
 Luh Tyler  Rapper Year 
 Asking Alexandria  Let 
 OK ROCK  Alive 
 VIC MENSA  Blue Eyes 
 Beaches  Kill Makes Paranoid 
 Digga D  Kindness Weakness 
 Yung Lean  Victorious 
 Connor Price  Let 
 Brooke Alexx  Liked 
 Madeline Person  Tantrum 
 Natalie Jane  Die 
 Jenna Raine  Cruise Control 
 Turnpike Troubadours  Cat Rain 
 Derek Minor  Day  feat  Ty Brasel   
 Chxrry22  
 Fridayy  Stand 
 Tai Verdes  White 
 Kirk Franklin  Try Love 
 BRELAND  Cowboy 
 Black Pumas  Love Song 
 1nonly  POPTHATRUNK 
 Spiritbox  Jaded 
 Darci  Cliff  Reo Cragun  
 Eli Brown  Diamonds Mind 
 Mochakk  Jealous  
 Sans Soucis  Lost 
 Hiss Golden Messenger  Wondering 
 Slow Pulp  Broadview 
  Echo Chamber  
 Buck Meek  Know 
 slimdan  Celebrity Lookalikes 
 LRain  Pet Rock 
 Jason Aldean  Let Boys Country 
 Patrick Droney  Shotgun Rider 
 Lexi Jayde  bandages 
 R Z O N  Hanging 
 Frawley  Figure 
 Rundown Spaz  Rundown Choppaboy  Murda Twins 
 Sauce Walka  Peezy  Uh Uh 
 AUDREY NUNA  locket 
 Carver Jones  JEANS 
 Anish Kumar  Marabelle 
 Gareth Donkin  Falling 
 Kyle Dion  Boyfriend Jeans 
 ISOxo  Ninajirachi  SHYPOP 
 TOBi  Flatline  feat  Kenny Mason  
 Ben Reilly  Yondu 
 Casper Sage  U4EA 
 Armed  Modern VanityEmbed"
"yes, and?",Ariana Grande,94,pop,"yes, and?",0.92,"{'danceability': 0.788, 'energy': 0.758, 'key': 1, 'loudness': -6.513, 'mode': 1, 'speechiness': 0.0505, 'acousticness': 0.198, 'instrumentalness': 8.5e-05, 'liveness': 0.104, 'valence': 0.823, 'tempo': 119.008, 'type': 'audio_features', 'id': '7gaA3wERFkFkgivjwbSvkG', 'uri': 'spotify:track:7gaA3wERFkFkgivjwbSvkG', 'track_href': 'https://api.spotify.com/v1/tracks/7gaA3wERFkFkgivjwbSvkG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7gaA3wERFkFkgivjwbSvkG', 'duration_ms': 214994, 'time_signature': 4}","
 case noticed 
  everybody tired 
 healin  somebody 
 somethin right 

  
 Boy  come  lipstick  tell nothin  
 Come walk way fire  care mind  
 find dark situation 
 turn light like 

  
  Yes    
 shit chest  
 fuckin  best friend 
 shit chest 
 moving like     
  Yes    

  
  caring 
 think   wo hide 
 Underneath projections 
 change authentic life 
 like 
 Boy  come  lipstick  tell nothin  
 Come walk way fire  care mind  
 find dark situation 
 turn light like 

  
  Yes    
 shit chest  
 fuckin  best friend 
 shit chest 
 moving like     
  Yes     Yeah  

  
 tongue sacred  speak like 
 Protected  sexy  discerning time  time  
 energy    
 
 face sitting  need disguise  need disguise  
 comment body  reply 
 business 
 care     ride  
  

  
  Yes     Yes    
 shit chest   shit chest  
 fuckin  best friend  Oh    
 shit chest  shit chest  baby  
 moving like     
  Yes    
  Yes  Ooh     
 shit chest  Ooh   
 fuckin  best   friend 
 shit chest 
 moving like     
  Yes     Yeah28Embed"
